objectid,fmr_code,fmr_areaname,fmr_0bdr,fmr_1bdr,fmr_2bdr,fmr_3bdr,fmr_4bdr,shape__area,shape__length
1,METRO10180M10180,"Abilene, TX MSA",1010,1020,1276,1653,1987,10058996192.066406,461477.2880781027
2,METRO10380M10380,"Aguadilla, PR MSA",480,482,564,680,756,861279783.1523438,164337.14274139813
3,METRO10420M10420,"Akron, OH MSA",904,985,1268,1547,1681,4225361980.5546875,291486.0757076949
4,METRO10500M10500,"Albany, GA MSA",966,1006,1129,1534,1858,5767117490.457031,412861.494344541
5,METRO10540M10540,"Albany, OR MSA",1034,1236,1500,2030,2356,11751852326.726562,602612.0774300419
6,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",1217,1417,1702,2041,2253,13849497383.773438,647593.7682476204
7,METRO10740M10740,"Albuquerque, NM MSA",1009,1185,1464,2036,2399,36074284866.859375,1106411.3824138276
8,METRO10780M10780,"Alexandria, LA MSA",728,780,994,1342,1523,7215422135.957031,574150.9389023619
9,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1130,1341,1634,2087,2195,5029980697.832031,416532.004562341
10,METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",1517,1527,1895,2404,2800,1643528720.5742188,223231.43815515132
11,METRO11020M11020,"Altoona, PA MSA",802,948,1138,1458,1705,2358817585.2773438,262472.5767184268
12,METRO11100M11100,"Amarillo, TX HUD Metro FMR Area",778,903,1106,1503,1742,14310746713.757812,478802.7972678788
13,METRO11100N48359,"Oldham County, TX HUD Metro FMR Area",774,899,1101,1499,1734,5866398522.378906,315973.5158153092
14,METRO11180M11180,"Ames, IA HUD Metro FMR Area",972,1026,1153,1601,1934,2695262550.7148438,207629.8207453593
15,METRO11180M19015,"Boone County, IA HUD Metro FMR Area",783,788,1026,1427,1500,2695196623.1367188,207654.63064727775
16,METRO11200M11200,"Amherst Town-Northampton, MA MSA",1382,1580,2004,2504,2702,2586335714.8476562,379639.85064412176
17,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",1152,1243,1631,2268,2736,19229866546.421875,736838.9791810805
18,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1015,1049,1376,1914,2308,298693077103.4531,2651862.8677740144
19,METRO11460M11460,"Ann Arbor, MI MSA",1365,1387,1656,1986,2193,3417434895.5351562,236913.33131760225
20,METRO11500M11500,"Anniston-Oxford, AL MSA",753,757,962,1300,1361,2300852366.9023438,263781.3081979941
21,METRO11540M11540,"Appleton, WI MSA",858,960,1236,1701,1776,5266301938.5,372078.6885648725
22,METRO11640M11640,"Arecibo, PR MSA",437,440,510,699,787,687788139.4736328,145272.2921051165
23,METRO11700M11700,"Asheville, NC MSA",1227,1429,1567,1905,2629,5838734957.5234375,455670.9695118572
24,METRO12020M12020,"Athens-Clarke County, GA MSA",1159,1183,1331,1734,1831,3906017957.3710938,363886.56541775423
25,METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1585,1660,1820,2182,2605,27500134307.351562,1094443.1349699746
26,METRO12060N13035,"Butts County, GA HUD Metro FMR Area",936,977,1075,1427,1803,698847038.5078125,146026.60855552208
27,METRO12060N13143,"Haralson County, GA HUD Metro FMR Area",838,844,1107,1345,1718,1064698074.484375,135946.98885127576
28,METRO12060N13187,"Lumpkin County, GA HUD Metro FMR Area",1085,1136,1245,1577,2089,1088289527.28125,166062.42618725976
29,METRO12060N13199,"Meriwether County, GA HUD Metro FMR Area",758,763,1001,1392,1511,1866687371.546875,196874.00032457008
30,METRO12060N13211,"Morgan County, GA HUD Metro FMR Area",1256,1315,1442,1729,2419,1327085049.7851562,165278.41170613287
31,METRO12100M12100,"Atlantic City-Hammonton, NJ HUD Metro FMR Area",1346,1537,1867,2586,2851,2466218702.6914062,933744.5834290977
32,METRO12100N36140,"Cape May County, NJ HUD Metro FMR Area",1320,1366,1792,2396,2405,1114224647.2226562,823668.5204267121
33,METRO12220M12220,"Auburn-Opelika, AL HUD Metro FMR Area",847,1077,1181,1494,1699,2253833613.5,241936.34197985064
34,METRO12220N01087,"Macon County, AL HUD Metro FMR Area",720,758,995,1222,1501,2233558439.7421875,249787.0789295524
35,METRO12260M12260,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",939,1114,1261,1627,1984,12398060607.578125,724891.9983251122
36,METRO12260N13181,"Lincoln County, GA HUD Metro FMR Area",743,758,995,1305,1317,967389760.8515625,177996.04650968843
37,METRO12420M12420,"Austin-Round Rock-San Marcos, TX MSA",1474,1562,1852,2347,2760,14900901636.257812,564527.5567135193
38,METRO12540M12540,"Bakersfield-Delano, CA MSA",1132,1140,1483,2062,2488,31854106248.8125,861842.2936202665
39,METRO12580M12580,"Baltimore-Columbia-Towson, MD MSA",1362,1511,1857,2358,2611,11415975863.4375,2933958.49099492
40,METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",1244,1313,1659,2133,2242,2021915518.8789062,585821.7057876021
41,METRO12620N23019,"Penobscot County, ME (part) HUD Metro FMR Area",982,1061,1392,1799,2010,16665602811.988281,1331887.267856211
42,METRO12700M12700,"Barnstable Town, MA MSA",1834,1846,2422,2985,3428,1926357644.8476562,1017620.8992901983
43,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",1032,1064,1204,1511,1943,12457711534.585938,564874.6499068264
44,METRO12940M22007,"Assumption Parish, LA HUD Metro FMR Area",801,806,967,1345,1556,1279311787.1132812,177262.4221780577
45,METRO12940N22047,"Iberville Parish, LA HUD Metro FMR Area",747,790,866,1204,1453,2274230038.84375,257021.68714068766
46,METRO12980M12980,"Battle Creek, MI MSA",833,976,1176,1410,1565,3397366753.875,234935.88570632148
47,METRO13020M13020,"Bay City, MI MSA",809,814,1030,1399,1518,2221615863.921875,304417.73261240503
48,METRO13140M13140,"Beaumont-Port Arthur, TX MSA",892,898,1103,1446,1732,7863186272.6015625,522136.71748859494
49,METRO13220N54019,"Fayette County, WV HUD Metro FMR Area",631,697,915,1195,1535,2793961251.3164062,290276.5777020809
50,METRO13220N54081,"Raleigh County, WV HUD Metro FMR Area",715,719,944,1313,1377,2530154233.5625,302184.2597112056
51,METRO13380M13380,"Bellingham, WA MSA",1463,1493,1794,2495,3010,12918044933.945312,798126.8558032566
52,METRO13460M13460,"Bend-Redmond, OR HUD Metro FMR Area",1362,1371,1784,2481,2993,15247918988.070312,738286.3947384
53,METRO13460N41013,"Crook County, OR HUD Metro FMR Area",1049,1056,1385,1926,2323,15026592110.429688,590893.6790198523
54,METRO13460N41031,"Jefferson County, OR HUD Metro FMR Area",939,945,1229,1709,1867,9164009864.476562,489540.0133509897
55,METRO13740M13740,"Billings, MT HUD Metro FMR Area",1016,1109,1417,1951,2216,24945807605.742188,1167936.5507261732
56,METRO13740M30095,"Stillwater County, MT HUD Metro FMR Area",884,958,1257,1748,2109,9577245971.429688,579998.4444855716
57,METRO13780M13780,"Binghamton, NY MSA",783,868,1103,1412,1622,5841808716.847656,415281.8179545295
58,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1024,1155,1266,1583,1801,14431178995.191406,832270.2388931069
59,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",734,739,970,1274,1448,2578783801.3203125,248625.32323441902
60,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",644,724,886,1232,1481,3028059199.1484375,288090.55468448997
61,METRO13900M13900,"Bismarck, ND MSA",961,1030,1175,1634,1884,24079183145.04297,881216.4307859661
62,METRO13980M13980,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",910,993,1271,1706,2132,1631753462.078125,225525.1651138763
63,METRO13980N51063,"Floyd County, VA HUD Metro FMR Area",830,834,1094,1312,1448,1550377878.1796875,235047.95909476755
64,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",746,898,984,1180,1651,1483106140.0429688,199817.00552562618
65,METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",699,840,921,1252,1545,1342494882.1953125,191367.00619782924
66,METRO14010M14010,"Bloomington, IL MSA",927,999,1302,1717,1724,5317837640.640625,317772.59328574484
67,METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",966,1072,1210,1572,1906,1774404937.0039062,187181.0474753297
68,METRO14020N18119,"Owen County, IN HUD Metro FMR Area",770,798,956,1155,1509,1680268905.1992188,186397.619188909
69,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",1170,1381,1655,2318,2772,54536009336.34766,1586461.569091709
70,METRO14260N16045,"Gem County, ID HUD Metro FMR Area",834,908,1190,1601,1882,2832547484.2578125,344511.8094033155
71,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2359,2476,2941,3526,3894,8466316778.378906,2074541.8877768596
72,METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",1631,1761,2311,2889,3060,1539968464.8476562,316818.8567405759
73,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",1565,1730,2270,2722,3006,2181878028.46875,263368.49128514697
74,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",1621,1792,2351,2819,3113,1099293188.203125,182692.192882189
75,METRO14460MM4760,"Western Rockingham County, NH HUD Metro FMR Area",1681,1692,2220,3069,3080,1127844685.390625,211004.33208485696
76,METRO14460MM6450,"Portsmouth-Rochester, NH HUD Metro FMR Area",1601,1677,2194,2693,2941,2864273205.6796875,609803.4742985445
77,METRO14500M14500,"Boulder, CO MSA",1553,1795,2124,2820,3239,3280805048.765625,290981.9646176198
78,METRO14540M14540,"Bowling Green, KY HUD Metro FMR Area",889,985,1153,1384,1806,3487188186.609375,290278.39341701043
79,METRO14540N21003,"Allen County, KY HUD Metro FMR Area",759,759,996,1224,1520,1422264252.6289062,212158.91150805945
80,METRO14540N21031,"Butler County, KY HUD Metro FMR Area",660,660,866,1204,1232,1764912693.2148438,259327.23880365735
81,METRO14580M14580,"Bozeman, MT MSA",1485,1642,2154,2996,3537,13905259696.738281,773930.265719144
82,METRO14740M14740,"Bremerton-Silverdale-Port Orchard, WA MSA",1400,1548,2031,2676,2941,2297763089.84375,645820.5803217255
83,METRO14860M14860,"Bridgeport-Stamford-Danbury, CT MSA",1731,2100,2511,3036,3598,3190858608.2265625,655150.3320573359
84,METRO15180M15180,"Brownsville-Harlingen, TX MSA",773,866,1047,1414,1479,3062982676.501953,926419.1720200098
85,METRO15260M15260,"Brunswick-St. Simons, GA MSA",1035,1105,1293,1550,1906,4788341031.095703,989169.9888753133
86,METRO15380M15380,"Buffalo-Cheektowaga, NY MSA",1105,1139,1343,1640,1869,7597699076.519531,585177.5630128998
87,METRO15500M15500,"Burlington, NC MSA",992,1230,1348,1670,1972,1723847463.4179688,179799.5387622309
88,METRO15540M15540,"Burlington-South Burlington, VT MSA",1497,1651,2140,2745,2833,7702536918.417969,484019.91700737184
89,METRO15940M15940,"Canton-Massillon, OH MSA",749,846,1086,1371,1451,4420282757.496094,348335.50666168134
90,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",1629,1638,1961,2560,2836,2661597444.96875,1588117.3261529545
91,METRO16020M16020,"Cape Girardeau, MO-IL MSA",763,807,992,1380,1664,5991229709.8125,552041.2694487072
92,METRO16180M16180,"Carson City, NV MSA",1105,1212,1546,2150,2593,677605606.4921875,146699.62943418976
93,METRO16220M16220,"Casper, WY MSA",767,852,1082,1505,1815,26012207657.773438,661938.9109618355
94,METRO16300M16300,"Cedar Rapids, IA HUD Metro FMR Area",738,816,1071,1490,1797,3409380205.0,234905.63261058996
95,METRO16300N19011,"Benton County, IA HUD Metro FMR Area",659,729,956,1209,1348,3379847194.0820312,234865.5106795349
96,METRO16300N19105,"Jones County, IA HUD Metro FMR Area",634,711,919,1212,1217,2718595391.7773438,208654.74105365865
97,METRO16540M16540,"Chambersburg, PA MSA",1014,1119,1379,1825,1991,3408099947.5585938,282371.7382361245
98,METRO16580M16580,"Champaign-Urbana, IL HUD Metro FMR Area",941,946,1122,1436,1486,6372635515.363281,349602.8438997982
99,METRO16580N17053,"Ford County, IL HUD Metro FMR Area",694,698,916,1274,1300,2186587578.6328125,292279.1192116731
100,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",714,829,1036,1325,1372,5295623011.890625,478109.0838699995
